Dataverse_Desktop Machines Utilizations[Created On],Dataverse_Desktop Machines Utilizations[Created By],Dataverse_Desktop Machines Utilizations[statuscodename],Dataverse_Desktop Machines Utilizations[ErrorCode],Dataverse_Desktop Machines Utilizations[ErrorMessage],Dataverse_Desktop Machines Utilizations[Regarding],Dataverse_Desktop Machines Utilizations[Flow Machine Group],Dataverse_Desktop Machines Utilizations[Run mode],Dataverse_Desktop Machines Utilizations[Day Name],Dataverse_Desktop Machines Utilizations[Day of Week],Dataverse_Desktop Machines Utilizations[Start],Dataverse_Desktop Machines Utilizations[End],Dataverse_Desktop Machines Utilizations[Date],Dataverse_Desktop Machines Utilizations[Start UTC],Dataverse_Desktop Machines Utilizations[End UTC],Dataverse_Desktop Machines Utilizations[Context],Dataverse_Desktop Machines Utilizations[parentWorkflowId],Dataverse_Desktop Machines Utilizations[Cloud Flow URL],Dataverse_Desktop Machines Utilizations[desktop_taskstatus],[SumRuntime_duration__mins_],[SumDay_of_Week],[SumYear],[SumHour_of_Day],[SumYearWeek],[SumWeek_of_Year],[Machine_Utilization__],[Idle_Percentage__],[TotalRuntimeHours],[Desktop_Flow_Total_Runs],[Desktop_Runs_Total_Hours],[BOT_Utilization_Percentage],[Machine_Utilization_Weekly__],[Idle_Utilization_Weekly__],[Desktop_Failed_Runs],[Desktop_Flow_Success_Rate_Goal],[Desktop_Successful_Runs],[Desktop_Run_Percent_Success]
2025-04-18T17:40:04,Mohammad Asim,Succeeded,,,BullsEye-Prime-C2D-Run by Queue,SVC10,Unattended,Friday,5,2025-04-18T17:40:14,2025-04-18T17:40:55,2025-04-18T00:00:00,2025-04-18T12:40:14,2025-04-18T12:40:55,"{""hostName"":""IT-POWERAUTO-10"",""parentWorkflowId"":""e2123236-3cec-4f5b-b2b6-2f776bbdf1dd"",""parentWorkflowRunId"":""08584566088854171043261621683CU131"",""attendedMode"":""Unattended"",""agentVersion"":""2.50.125.24304"",""connectionType"":""AzureRelay"",""parentWorkflowType"":""ApiFlow"",""secureData"":[],""hasSensitiveVariables"":[],""runOwnerObjectId"":""781fafc5-ec9a-4ff0-a0ea-dd70fa1b908b""}",e2123236-3cec-4f5b-b2b6-2f776bbdf1dd,https://make.powerautomate.com/environments/Default-9b5b8dd2-61cb-4b6f-9664-28fd7b133562/flows/shared/e2123236-3cec-4f5b-b2b6-2f776bbdf1dd,Succeeded,0.6833333333333333,5,2025,12,202516,16,0.00047453703703703704,0.999525462962963,0.01138888888888889,1,0.01138888888888889,9.684429327286471E-06,9.75076103500761E-06,0.999990249238965,,0.85,1,1
2025-04-18T17:44:35,Mohammad Asim,Succeeded,,,Bullseye Excel Automation - V4,SVC09,Unattended,Friday,5,2025-04-18T17:44:45,2025-04-18T18:01:48,2025-04-18T00:00:00,2025-04-18T12:44:45,2025-04-18T13:01:48,"{""hostName"":""IT-POWERAUTO-09"",""parentWorkflowId"":""82e41edd-fc3d-4797-ac28-a71a81539c6a"",""parentWorkflowRunId"":""08584566087308884543135978204CU158"",""attendedMode"":""Unattended"",""agentVersion"":""2.55.158.25087"",""connectionType"":""AzureRelay"",""parentWorkflowType"":""ApiFlow"",""secureData"":[],""hasSensitiveVariables"":[],""runOwnerObjectId"":""781fafc5-ec9a-4ff0-a0ea-dd70fa1b908b""}",82e41edd-fc3d-4797-ac28-a71a81539c6a,https://make.powerautomate.com/environments/Default-9b5b8dd2-61cb-4b6f-9664-28fd7b133562/flows/shared/82e41edd-fc3d-4797-ac28-a71a81539c6a,Succeeded,17.05,5,2025,12,202516,16,0.011840277777777778,0.9881597222222223,0.2841666666666667,1,0.2841666666666667,0.00024163832199546487,0.0002432933789954338,0.9997567066210046,,0.85,1,1
2025-04-18T18:22:09,powerautomate03 serviceaccount,Succeeded,,,Chan_P_ConvertPriceAuto_SVC03_v1,SVC03,Unattended,Friday,5,2025-04-18T18:22:23,2025-04-18T18:27:05,2025-04-18T00:00:00,2025-04-18T13:22:23,2025-04-18T13:27:05,"{""hostName"":""IT-powerauto-03"",""parentWorkflowId"":""72b97fe9-eda2-4510-979e-1592f42e4ba3"",""parentWorkflowRunId"":""08584566063656623456446724410CU65"",""attendedMode"":""Unattended"",""agentVersion"":""2.53.186.25057"",""connectionType"":""AzureRelay"",""parentWorkflowType"":""ApiFlow"",""secureData"":[],""hasSensitiveVariables"":[],""runOwnerObjectId"":""7fbd880a-cdd3-4fc2-82b1-832a51502ae1""}",72b97fe9-eda2-4510-979e-1592f42e4ba3,https://make.powerautomate.com/environments/Default-9b5b8dd2-61cb-4b6f-9664-28fd7b133562/flows/shared/72b97fe9-eda2-4510-979e-1592f42e4ba3,Succeeded,4.7,5,2025,13,202516,16,0.003263888888888889,0.9967361111111112,0.07833333333333334,1,0.07833333333333334,6.660997732426305E-05,6.706621004566211E-05,0.9999329337899543,,0.85,1,1
2025-04-18T18:40:03,Mohammad Asim,Succeeded,,,BullsEye-Non_Prime-C2D-Run by Queue,SVC03,Unattended,Friday,5,2025-04-18T18:40:12,2025-04-18T18:40:53,2025-04-18T00:00:00,2025-04-18T13:40:12,2025-04-18T13:40:53,"{""hostName"":""IT-powerauto-03"",""parentWorkflowId"":""e2123236-3cec-4f5b-b2b6-2f776bbdf1dd"",""parentWorkflowRunId"":""08584566052850443272365596816CU36"",""attendedMode"":""Unattended"",""agentVersion"":""2.53.186.25057"",""connectionType"":""AzureRelay"",""parentWorkflowType"":""ApiFlow"",""secureData"":[],""hasSensitiveVariables"":[],""runOwnerObjectId"":""781fafc5-ec9a-4ff0-a0ea-dd70fa1b908b""}",e2123236-3cec-4f5b-b2b6-2f776bbdf1dd,https://make.powerautomate.com/environments/Default-9b5b8dd2-61cb-4b6f-9664-28fd7b133562/flows/shared/e2123236-3cec-4f5b-b2b6-2f776bbdf1dd,Succeeded,0.6833333333333333,5,2025,13,202516,16,0.00047453703703703704,0.999525462962963,0.01138888888888889,1,0.01138888888888889,9.684429327286471E-06,9.75076103500761E-06,0.999990249238965,,0.85,1,1
2025-04-18T18:40:04,Mohammad Asim,Succeeded,,,BullsEye-Prime-C2D-Run by Queue,SVC10,Unattended,Friday,5,2025-04-18T18:40:11,2025-04-18T18:40:53,2025-04-18T00:00:00,2025-04-18T13:40:11,2025-04-18T13:40:53,"{""hostName"":""IT-POWERAUTO-10"",""parentWorkflowId"":""e2123236-3cec-4f5b-b2b6-2f776bbdf1dd"",""parentWorkflowRunId"":""08584566052850443272365596816CU36"",""attendedMode"":""Unattended"",""agentVersion"":""2.50.125.24304"",""connectionType"":""AzureRelay"",""parentWorkflowType"":""ApiFlow"",""secureData"":[],""hasSensitiveVariables"":[],""runOwnerObjectId"":""781fafc5-ec9a-4ff0-a0ea-dd70fa1b908b""}",e2123236-3cec-4f5b-b2b6-2f776bbdf1dd,https://make.powerautomate.com/environments/Default-9b5b8dd2-61cb-4b6f-9664-28fd7b133562/flows/shared/e2123236-3cec-4f5b-b2b6-2f776bbdf1dd,Succeeded,0.7000000000000001,5,2025,13,202516,16,0.00048611111111111115,0.9995138888888889,0.011666666666666667,1,0.011666666666666667,9.92063492063492E-06,9.988584474885845E-06,0.9999900114155251,,0.85,1,1
2025-04-18T19:01:03,Mohammad Asim,Succeeded,,,Insert SQL - Promotion Price amazon Scrape,SVC01,Unattended,Friday,5,2025-04-18T19:01:15,2025-04-18T19:01:41,2025-04-18T00:00:00,2025-04-18T14:01:15,2025-04-18T14:01:41,"{""hostName"":""IT-powerauto-01"",""parentWorkflowId"":""b8b881fb-359f-4acb-aeb5-514cf68ecf83"",""parentWorkflowRunId"":""08584566040852859079511545479CU182"",""attendedMode"":""Unattended"",""agentVersion"":""2.54.188.25066"",""connectionType"":""AzureRelay"",""parentWorkflowType"":""ApiFlow"",""secureData"":[],""hasSensitiveVariables"":[],""runOwnerObjectId"":""781fafc5-ec9a-4ff0-a0ea-dd70fa1b908b""}",b8b881fb-359f-4acb-aeb5-514cf68ecf83,https://make.powerautomate.com/environments/Default-9b5b8dd2-61cb-4b6f-9664-28fd7b133562/flows/shared/b8b881fb-359f-4acb-aeb5-514cf68ecf83,Succeeded,0.43333333333333335,5,2025,14,202516,16,0.00030092592592592595,0.9996990740740741,0.007222222222222223,1,0.007222222222222223,6.141345427059713E-06,6.183409436834095E-06,0.9999938165905632,,0.85,1,1
2025-04-18T19:01:45,Mohammad Asim,Succeeded,,,Scrape Data - Amazon Promotion Price,SVC01,Unattended,Friday,5,2025-04-18T19:01:52,2025-04-18T19:16:54,2025-04-18T00:00:00,2025-04-18T14:01:52,2025-04-18T14:16:54,"{""hostName"":""IT-powerauto-01"",""parentWorkflowId"":""b8b881fb-359f-4acb-aeb5-514cf68ecf83"",""parentWorkflowRunId"":""08584566040852859079511545479CU182"",""attendedMode"":""Unattended"",""agentVersion"":""2.54.188.25066"",""connectionType"":""AzureRelay"",""parentWorkflowType"":""ApiFlow"",""secureData"":[],""hasSensitiveVariables"":[],""runOwnerObjectId"":""781fafc5-ec9a-4ff0-a0ea-dd70fa1b908b""}",b8b881fb-359f-4acb-aeb5-514cf68ecf83,https://make.powerautomate.com/environments/Default-9b5b8dd2-61cb-4b6f-9664-28fd7b133562/flows/shared/b8b881fb-359f-4acb-aeb5-514cf68ecf83,Succeeded,15.033333333333333,5,2025,14,202516,16,0.010439814814814815,0.9895601851851852,0.25055555555555553,1,0.25055555555555553,0.00021305744520030233,0.0002145167427701674,0.9997854832572298,,0.85,1,1
2025-04-18T19:01:45,Mohammad Asim,Succeeded,,,Scrape Data - Amazon Promotion Price,SVC11,Unattended,Friday,5,2025-04-18T19:01:53,2025-04-18T19:16:57,2025-04-18T00:00:00,2025-04-18T14:01:53,2025-04-18T14:16:57,"{""hostName"":""IT-POWERAUTO-11"",""parentWorkflowId"":""b8b881fb-359f-4acb-aeb5-514cf68ecf83"",""parentWorkflowRunId"":""08584566040852859079511545479CU182"",""attendedMode"":""Unattended"",""agentVersion"":""2.52.62.25009"",""connectionType"":""AzureRelay"",""parentWorkflowType"":""ApiFlow"",""secureData"":[],""hasSensitiveVariables"":[],""runOwnerObjectId"":""781fafc5-ec9a-4ff0-a0ea-dd70fa1b908b""}",b8b881fb-359f-4acb-aeb5-514cf68ecf83,https://make.powerautomate.com/environments/Default-9b5b8dd2-61cb-4b6f-9664-28fd7b133562/flows/shared/b8b881fb-359f-4acb-aeb5-514cf68ecf83,Succeeded,15.066666666666666,5,2025,14,202516,16,0.010462962962962962,0.989537037037037,0.2511111111111111,1,0.2511111111111111,0.00021352985638699925,0.0002149923896499239,0.99978500761035,,0.85,1,1
2025-04-18T19:22:09,powerautomate03 serviceaccount,Succeeded,,,Chan_P_ConvertPriceAuto_SVC03_v1,SVC03,Unattended,Friday,5,2025-04-18T19:22:20,2025-04-18T19:26:43,2025-04-18T00:00:00,2025-04-18T14:22:20,2025-04-18T14:26:43,"{""hostName"":""IT-powerauto-03"",""parentWorkflowId"":""72b97fe9-eda2-4510-979e-1592f42e4ba3"",""parentWorkflowRunId"":""08584566027653429251917763089CU71"",""attendedMode"":""Unattended"",""agentVersion"":""2.53.186.25057"",""connectionType"":""AzureRelay"",""parentWorkflowType"":""ApiFlow"",""secureData"":[],""hasSensitiveVariables"":[],""runOwnerObjectId"":""7fbd880a-cdd3-4fc2-82b1-832a51502ae1""}",72b97fe9-eda2-4510-979e-1592f42e4ba3,https://make.powerautomate.com/environments/Default-9b5b8dd2-61cb-4b6f-9664-28fd7b133562/flows/shared/72b97fe9-eda2-4510-979e-1592f42e4ba3,Succeeded,4.383333333333334,5,2025,14,202516,16,0.0030439814814814817,0.9969560185185186,0.07305555555555557,1,0.07305555555555557,6.212207105064249E-05,6.254756468797566E-05,0.9999374524353121,,0.85,1,1
2025-04-18T19:40:04,Mohammad Asim,Succeeded,,,BullsEye-Non_Prime-C2D-Run by Queue,SVC03,Unattended,Friday,5,2025-04-18T19:40:15,2025-04-18T19:40:57,2025-04-18T00:00:00,2025-04-18T14:40:15,2025-04-18T14:40:57,"{""hostName"":""IT-powerauto-03"",""parentWorkflowId"":""e2123236-3cec-4f5b-b2b6-2f776bbdf1dd"",""parentWorkflowRunId"":""08584566016857982793597384139CU02"",""attendedMode"":""Unattended"",""agentVersion"":""2.53.186.25057"",""connectionType"":""AzureRelay"",""parentWorkflowType"":""ApiFlow"",""secureData"":[],""hasSensitiveVariables"":[],""runOwnerObjectId"":""781fafc5-ec9a-4ff0-a0ea-dd70fa1b908b""}",e2123236-3cec-4f5b-b2b6-2f776bbdf1dd,https://make.powerautomate.com/environments/Default-9b5b8dd2-61cb-4b6f-9664-28fd7b133562/flows/shared/e2123236-3cec-4f5b-b2b6-2f776bbdf1dd,Succeeded,0.7000000000000001,5,2025,14,202516,16,0.00048611111111111115,0.9995138888888889,0.011666666666666667,1,0.011666666666666667,9.92063492063492E-06,9.988584474885845E-06,0.9999900114155251,,0.85,1,1
