Machine Availability Timeline[Created On],Machine Availability Timeline[Created By],Machine Availability Timeline[statuscodename],Machine Availability Timeline[ErrorCode],Machine Availability Timeline[ErrorMessage],Machine Availability Timeline[Regarding],Machine Availability Timeline[Flow Machine Group],Machine Availability Timeline[Run mode],Machine Availability Timeline[Day Name],Machine Availability Timeline[Start],Machine Availability Timeline[End],Machine Availability Timeline[Date],Machine Availability Timeline[Runtime duration (mins)],Machine Availability Timeline[Day of Week],Machine Availability Timeline[Year],Machine Availability Timeline[Hour of Day],Machine Availability Timeline[Start UTC],Machine Availability Timeline[End UTC],Machine Availability Timeline[Context],Machine Availability Timeline[parentWorkflowId],Machine Availability Timeline[Cloud Flow URL],Machine Availability Timeline[Value],Machine Availability Timeline[Time Slot],Machine Availability Timeline[desktop_taskstatus],Machine Availability Timeline[YearWeek],Machine Availability Timeline[Week of Year],[SumRuntime_duration__mins_],[SumDay_of_Week],[SumYear],[SumHour_of_Day],[SumValue],[SumYearWeek],[SumWeek_of_Year],[Tasks_Occupied]
2025-04-16T15:22:10,powerautomate03 serviceaccount,Succeeded,,,Chan_P_ConvertPriceAuto_SVC03_v1,SVC03,Unattended,Wednesday,2025-04-16T15:22:26,2025-04-16T15:26:16,2025-04-16T00:00:00,3.8333333333333335,3,2025,10,2025-04-16T10:22:26,2025-04-16T10:26:16,"{""hostName"":""IT-powerauto-03"",""parentWorkflowId"":""72b97fe9-eda2-4510-979e-1592f42e4ba3"",""parentWorkflowRunId"":""08584567899654591816271429903CU94"",""attendedMode"":""Unattended"",""agentVersion"":""2.53.186.25057"",""connectionType"":""AzureRelay"",""parentWorkflowType"":""ApiFlow"",""secureData"":[],""hasSensitiveVariables"":[],""runOwnerObjectId"":""7fbd880a-cdd3-4fc2-82b1-832a51502ae1""}",72b97fe9-eda2-4510-979e-1592f42e4ba3,https://make.powerautomate.com/environments/Default-9b5b8dd2-61cb-4b6f-9664-28fd7b133562/flows/shared/72b97fe9-eda2-4510-979e-1592f42e4ba3,10,10,Succeeded,202516,16,3.8333333333333335,3,2025,10,10,202516,16,1
2025-04-16T15:40:05,Mohammad Asim,Succeeded,,,BullsEye-Non_Prime-C2D-Run by Queue,SVC03,Unattended,Wednesday,2025-04-16T15:40:18,2025-04-16T15:40:58,2025-04-16T00:00:00,0.6666666666666666,3,2025,10,2025-04-16T10:40:18,2025-04-16T10:40:58,"{""hostName"":""IT-powerauto-03"",""parentWorkflowId"":""e2123236-3cec-4f5b-b2b6-2f776bbdf1dd"",""parentWorkflowRunId"":""08584567888850994659316553391CU14"",""attendedMode"":""Unattended"",""agentVersion"":""2.53.186.25057"",""connectionType"":""AzureRelay"",""parentWorkflowType"":""ApiFlow"",""secureData"":[],""hasSensitiveVariables"":[],""runOwnerObjectId"":""781fafc5-ec9a-4ff0-a0ea-dd70fa1b908b""}",e2123236-3cec-4f5b-b2b6-2f776bbdf1dd,https://make.powerautomate.com/environments/Default-9b5b8dd2-61cb-4b6f-9664-28fd7b133562/flows/shared/e2123236-3cec-4f5b-b2b6-2f776bbdf1dd,10,10,Succeeded,202516,16,0.6666666666666666,3,2025,10,10,202516,16,1
2025-04-16T16:22:11,powerautomate03 serviceaccount,Succeeded,,,Chan_P_ConvertPriceAuto_SVC03_v1,SVC03,Unattended,Wednesday,2025-04-16T16:22:22,2025-04-16T16:26:59,2025-04-16T00:00:00,4.616666666666667,3,2025,11,2025-04-16T11:22:22,2025-04-16T11:26:59,"{""hostName"":""IT-powerauto-03"",""parentWorkflowId"":""72b97fe9-eda2-4510-979e-1592f42e4ba3"",""parentWorkflowRunId"":""08584567863649792164875194719CU90"",""attendedMode"":""Unattended"",""agentVersion"":""2.53.186.25057"",""connectionType"":""AzureRelay"",""parentWorkflowType"":""ApiFlow"",""secureData"":[],""hasSensitiveVariables"":[],""runOwnerObjectId"":""7fbd880a-cdd3-4fc2-82b1-832a51502ae1""}",72b97fe9-eda2-4510-979e-1592f42e4ba3,https://make.powerautomate.com/environments/Default-9b5b8dd2-61cb-4b6f-9664-28fd7b133562/flows/shared/72b97fe9-eda2-4510-979e-1592f42e4ba3,11,11,Succeeded,202516,16,4.616666666666667,3,2025,11,11,202516,16,1
2025-04-16T16:35:04,Mohammad Asim,Succeeded,,,UpdateComment_SuppressionReport,SVC12,Unattended,Wednesday,2025-04-16T16:35:17,2025-04-16T16:36:52,2025-04-16T00:00:00,1.5833333333333333,3,2025,11,2025-04-16T11:35:17,2025-04-16T11:36:52,"{""hostName"":""IT-POWERAUTO-12"",""parentWorkflowId"":""3512de6e-e263-40c2-8756-82019c0822d1"",""parentWorkflowRunId"":""08584567855848126144836954385CU172"",""attendedMode"":""Unattended"",""agentVersion"":""2.52.62.25009"",""connectionType"":""AzureRelay"",""parentWorkflowType"":""ApiFlow"",""secureData"":[],""hasSensitiveVariables"":[],""runOwnerObjectId"":""781fafc5-ec9a-4ff0-a0ea-dd70fa1b908b""}",3512de6e-e263-40c2-8756-82019c0822d1,https://make.powerautomate.com/environments/Default-9b5b8dd2-61cb-4b6f-9664-28fd7b133562/flows/shared/3512de6e-e263-40c2-8756-82019c0822d1,11,11,Succeeded,202516,16,1.5833333333333333,3,2025,11,11,202516,16,1
2025-04-16T16:40:03,Mohammad Asim,Succeeded,,,BullsEye-Non_Prime-C2D-Run by Queue,SVC03,Unattended,Wednesday,2025-04-16T16:40:16,2025-04-16T16:40:56,2025-04-16T00:00:00,0.6666666666666666,3,2025,11,2025-04-16T11:40:16,2025-04-16T11:40:56,"{""hostName"":""IT-powerauto-03"",""parentWorkflowId"":""e2123236-3cec-4f5b-b2b6-2f776bbdf1dd"",""parentWorkflowRunId"":""08584567852848823150496605216CU09"",""attendedMode"":""Unattended"",""agentVersion"":""2.53.186.25057"",""connectionType"":""AzureRelay"",""parentWorkflowType"":""ApiFlow"",""secureData"":[],""hasSensitiveVariables"":[],""runOwnerObjectId"":""781fafc5-ec9a-4ff0-a0ea-dd70fa1b908b""}",e2123236-3cec-4f5b-b2b6-2f776bbdf1dd,https://make.powerautomate.com/environments/Default-9b5b8dd2-61cb-4b6f-9664-28fd7b133562/flows/shared/e2123236-3cec-4f5b-b2b6-2f776bbdf1dd,11,11,Succeeded,202516,16,0.6666666666666666,3,2025,11,11,202516,16,1
2025-04-16T17:22:08,powerautomate03 serviceaccount,Succeeded,,,Chan_P_ConvertPriceAuto_SVC03_v1,SVC03,Unattended,Wednesday,2025-04-16T17:22:21,2025-04-16T17:26:50,2025-04-16T00:00:00,4.483333333333333,3,2025,12,2025-04-16T12:22:21,2025-04-16T12:26:50,"{""hostName"":""IT-powerauto-03"",""parentWorkflowId"":""72b97fe9-eda2-4510-979e-1592f42e4ba3"",""parentWorkflowRunId"":""08584567827657531277472208788CU147"",""attendedMode"":""Unattended"",""agentVersion"":""2.53.186.25057"",""connectionType"":""AzureRelay"",""parentWorkflowType"":""ApiFlow"",""secureData"":[],""hasSensitiveVariables"":[],""runOwnerObjectId"":""7fbd880a-cdd3-4fc2-82b1-832a51502ae1""}",72b97fe9-eda2-4510-979e-1592f42e4ba3,https://make.powerautomate.com/environments/Default-9b5b8dd2-61cb-4b6f-9664-28fd7b133562/flows/shared/72b97fe9-eda2-4510-979e-1592f42e4ba3,12,12,Succeeded,202516,16,4.483333333333333,3,2025,12,12,202516,16,1
2025-04-16T17:40:06,Mohammad Asim,Succeeded,,,BullsEye-Non_Prime-C2D-Run by Queue,SVC03,Unattended,Wednesday,2025-04-16T17:40:17,2025-04-16T17:40:58,2025-04-16T00:00:00,0.6833333333333333,3,2025,12,2025-04-16T12:40:17,2025-04-16T12:40:58,"{""hostName"":""IT-powerauto-03"",""parentWorkflowId"":""e2123236-3cec-4f5b-b2b6-2f776bbdf1dd"",""parentWorkflowRunId"":""08584567816855348664782210394CU34"",""attendedMode"":""Unattended"",""agentVersion"":""2.53.186.25057"",""connectionType"":""AzureRelay"",""parentWorkflowType"":""ApiFlow"",""secureData"":[],""hasSensitiveVariables"":[],""runOwnerObjectId"":""781fafc5-ec9a-4ff0-a0ea-dd70fa1b908b""}",e2123236-3cec-4f5b-b2b6-2f776bbdf1dd,https://make.powerautomate.com/environments/Default-9b5b8dd2-61cb-4b6f-9664-28fd7b133562/flows/shared/e2123236-3cec-4f5b-b2b6-2f776bbdf1dd,12,12,Succeeded,202516,16,0.6833333333333333,3,2025,12,12,202516,16,1
2025-04-16T17:40:06,Mohammad Asim,Succeeded,,,BullsEye-Prime-C2D-Run by Queue,SVC10,Unattended,Wednesday,2025-04-16T17:40:18,2025-04-16T17:41:01,2025-04-16T00:00:00,0.7166666666666667,3,2025,12,2025-04-16T12:40:18,2025-04-16T12:41:01,"{""hostName"":""IT-POWERAUTO-10"",""parentWorkflowId"":""e2123236-3cec-4f5b-b2b6-2f776bbdf1dd"",""parentWorkflowRunId"":""08584567816855348664782210394CU34"",""attendedMode"":""Unattended"",""agentVersion"":""2.50.125.24304"",""connectionType"":""AzureRelay"",""parentWorkflowType"":""ApiFlow"",""secureData"":[],""hasSensitiveVariables"":[],""runOwnerObjectId"":""781fafc5-ec9a-4ff0-a0ea-dd70fa1b908b""}",e2123236-3cec-4f5b-b2b6-2f776bbdf1dd,https://make.powerautomate.com/environments/Default-9b5b8dd2-61cb-4b6f-9664-28fd7b133562/flows/shared/e2123236-3cec-4f5b-b2b6-2f776bbdf1dd,12,12,Succeeded,202516,16,0.7166666666666667,3,2025,12,12,202516,16,1
2025-04-16T18:22:13,powerautomate03 serviceaccount,Succeeded,,,Chan_P_ConvertPriceAuto_SVC03_v1,SVC03,Unattended,Wednesday,2025-04-16T18:22:27,2025-04-16T18:26:23,2025-04-16T00:00:00,3.9333333333333336,3,2025,13,2025-04-16T13:22:27,2025-04-16T13:26:23,"{""hostName"":""IT-powerauto-03"",""parentWorkflowId"":""72b97fe9-eda2-4510-979e-1592f42e4ba3"",""parentWorkflowRunId"":""08584567791655605688505798523CU91"",""attendedMode"":""Unattended"",""agentVersion"":""2.53.186.25057"",""connectionType"":""AzureRelay"",""parentWorkflowType"":""ApiFlow"",""secureData"":[],""hasSensitiveVariables"":[],""runOwnerObjectId"":""7fbd880a-cdd3-4fc2-82b1-832a51502ae1""}",72b97fe9-eda2-4510-979e-1592f42e4ba3,https://make.powerautomate.com/environments/Default-9b5b8dd2-61cb-4b6f-9664-28fd7b133562/flows/shared/72b97fe9-eda2-4510-979e-1592f42e4ba3,13,13,Succeeded,202516,16,3.9333333333333336,3,2025,13,13,202516,16,1
2025-04-16T18:40:06,Mohammad Asim,Succeeded,,,BullsEye-Non_Prime-C2D-Run by Queue,SVC03,Unattended,Wednesday,2025-04-16T18:40:18,2025-04-16T18:40:59,2025-04-16T00:00:00,0.6833333333333333,3,2025,13,2025-04-16T13:40:18,2025-04-16T13:40:59,"{""hostName"":""IT-powerauto-03"",""parentWorkflowId"":""e2123236-3cec-4f5b-b2b6-2f776bbdf1dd"",""parentWorkflowRunId"":""08584567780851973977633580052CU39"",""attendedMode"":""Unattended"",""agentVersion"":""2.53.186.25057"",""connectionType"":""AzureRelay"",""parentWorkflowType"":""ApiFlow"",""secureData"":[],""hasSensitiveVariables"":[],""runOwnerObjectId"":""781fafc5-ec9a-4ff0-a0ea-dd70fa1b908b""}",e2123236-3cec-4f5b-b2b6-2f776bbdf1dd,https://make.powerautomate.com/environments/Default-9b5b8dd2-61cb-4b6f-9664-28fd7b133562/flows/shared/e2123236-3cec-4f5b-b2b6-2f776bbdf1dd,13,13,Succeeded,202516,16,0.6833333333333333,3,2025,13,13,202516,16,1
