Created On,Created By,statuscodename,ErrorCode,ErrorMessage,Regarding,Flow Machine Group,Run mode,Day Name,Day of Week,Start,End,Date,Start UTC,End UTC,Context,parentWorkflowId,Cloud Flow URL,desktop_taskstatus,SumRuntime_duration__mins_,SumDay_of_Week,SumYear,SumHour_of_Day,SumYearWeek,SumWeek_of_Year,Machine_Utilization__,Idle_Percentage__,TotalRuntimeHours,Desktop_Flow_Total_Runs,Desktop_Runs_Total_Hours,BOT_Utilization_Percentage,Machine_Utilization_Weekly__,Idle_Utilization_Weekly__,Desktop_Failed_Runs,Desktop_Flow_Success_Rate_Goal,Desktop_Successful_Runs,Desktop_Run_Percent_Success,Year,Week,YearWeek
2025-04-18 22:27:06,powerautomate04 #,Succeeded,Unknown,Unknown,Shared_SetMachineOccupied,SVC04,Attended,Friday,5,2025-04-18 22:25:28,2025-04-18 22:25:28,2025-04-18,2025-04-18 17:25:28,2025-04-18 17:25:28,"{""hostName"":""IT-POWERAUTO-04"",""parentWorkflowId"":""9c490130-415e-4bcf-9d8f-537c5ddf4dcd"",""parentWorkflowRunId"":""55b181ce-af52-40a4-aaa4-5be0fce19abc"",""attendedMode"":""Attended"",""agentVersion"":""2.55.158.25087"",""connectionType"":""AzureRelay"",""parentWorkflowType"":""DesktopFlow"",""runOwnerObjectId"":""7e00f422-8a89-49f0-9ce2-a2e6306638a2""}",9c490130-415e-4bcf-9d8f-537c5ddf4dcd,https://make.powerautomate.com/environments/Default-9b5b8dd2-61cb-4b6f-9664-28fd7b133562/flows/shared/9c490130-415e-4bcf-9d8f-537c5ddf4dcd,Succeeded,0.0,5,2025,17,202516,16,0.0,1.0,0.0,1,0.0,0.0,0.0,1.0,1.0,0.85,1.0,1.0,2025,16,202516
2025-04-18 22:40:02,Mohammad Asim,Succeeded,Unknown,Unknown,BullsEye-Non_Prime-C2D-Run by Queue,SVC03,Unattended,Friday,5,2025-04-18 22:40:16,2025-04-18 22:40:57,2025-04-18,2025-04-18 17:40:16,2025-04-18 17:40:57,"{""hostName"":""IT-powerauto-03"",""parentWorkflowId"":""e2123236-3cec-4f5b-b2b6-2f776bbdf1dd"",""parentWorkflowRunId"":""08584565908854600907108302108CU33"",""attendedMode"":""Unattended"",""agentVersion"":""2.53.186.25057"",""connectionType"":""AzureRelay"",""parentWorkflowType"":""ApiFlow"",""secureData"":[],""hasSensitiveVariables"":[],""runOwnerObjectId"":""781fafc5-ec9a-4ff0-a0ea-dd70fa1b908b""}",e2123236-3cec-4f5b-b2b6-2f776bbdf1dd,https://make.powerautomate.com/environments/Default-9b5b8dd2-61cb-4b6f-9664-28fd7b133562/flows/shared/e2123236-3cec-4f5b-b2b6-2f776bbdf1dd,Succeeded,0.6833333333333333,5,2025,17,202516,16,0.000474537037037,0.999525462962963,0.0113888888888888,1,0.0113888888888888,9.684429327286473e-06,9.75076103500761e-06,0.999990249238965,1.0,0.85,1.0,1.0,2025,16,202516
2025-04-18 22:40:03,Mohammad Asim,Succeeded,Unknown,Unknown,BullsEye-Prime-C2D-Run by Queue,SVC10,Unattended,Friday,5,2025-04-18 22:40:15,2025-04-18 22:40:57,2025-04-18,2025-04-18 17:40:15,2025-04-18 17:40:57,"{""hostName"":""IT-POWERAUTO-10"",""parentWorkflowId"":""e2123236-3cec-4f5b-b2b6-2f776bbdf1dd"",""parentWorkflowRunId"":""08584565908854600907108302108CU33"",""attendedMode"":""Unattended"",""agentVersion"":""2.50.125.24304"",""connectionType"":""AzureRelay"",""parentWorkflowType"":""ApiFlow"",""secureData"":[],""hasSensitiveVariables"":[],""runOwnerObjectId"":""781fafc5-ec9a-4ff0-a0ea-dd70fa1b908b""}",e2123236-3cec-4f5b-b2b6-2f776bbdf1dd,https://make.powerautomate.com/environments/Default-9b5b8dd2-61cb-4b6f-9664-28fd7b133562/flows/shared/e2123236-3cec-4f5b-b2b6-2f776bbdf1dd,Succeeded,0.7000000000000001,5,2025,17,202516,16,0.0004861111111111,0.9995138888888888,0.0116666666666666,1,0.0116666666666666,9.92063492063492e-06,9.988584474885845e-06,0.9999900114155252,1.0,0.85,1.0,1.0,2025,16,202516
2025-04-18 23:01:19,Mohammad Asim,Succeeded,Unknown,Unknown,SFTP Century PO Order,SVC03,Unattended,Friday,5,2025-04-18 23:01:33,2025-04-18 23:02:11,2025-04-18,2025-04-18 18:01:33,2025-04-18 18:02:11,"{""hostName"":""IT-powerauto-03"",""parentWorkflowId"":""e7d47038-5b50-46bf-ae63-85f6189cf4a3"",""parentWorkflowRunId"":""08584565896258229949847350276CU95"",""attendedMode"":""Unattended"",""agentVersion"":""2.53.186.25057"",""connectionType"":""AzureRelay"",""parentWorkflowType"":""ApiFlow"",""secureData"":[],""hasSensitiveVariables"":[],""runOwnerObjectId"":""781fafc5-ec9a-4ff0-a0ea-dd70fa1b908b""}",e7d47038-5b50-46bf-ae63-85f6189cf4a3,https://make.powerautomate.com/environments/Default-9b5b8dd2-61cb-4b6f-9664-28fd7b133562/flows/shared/e7d47038-5b50-46bf-ae63-85f6189cf4a3,Succeeded,0.6333333333333333,5,2025,18,202516,16,0.0004398148148148,0.9995601851851852,0.0105555555555555,1,0.0105555555555555,8.975812547241119e-06,9.037290715372907e-06,0.9999909627092848,1.0,0.85,1.0,1.0,2025,16,202516
2025-04-18 23:22:38,powerautomate03 serviceaccount,Succeeded,Unknown,Unknown,Chan_P_ConvertPriceAuto_SVC03_v1,SVC03,Unattended,Friday,5,2025-04-18 23:22:50,2025-04-18 23:26:57,2025-04-18,2025-04-18 18:22:50,2025-04-18 18:26:57,"{""hostName"":""IT-powerauto-03"",""parentWorkflowId"":""72b97fe9-eda2-4510-979e-1592f42e4ba3"",""parentWorkflowRunId"":""08584565883607409094312876202CU61"",""attendedMode"":""Unattended"",""agentVersion"":""2.53.186.25057"",""connectionType"":""AzureRelay"",""parentWorkflowType"":""ApiFlow"",""secureData"":[],""hasSensitiveVariables"":[],""runOwnerObjectId"":""7fbd880a-cdd3-4fc2-82b1-832a51502ae1""}",72b97fe9-eda2-4510-979e-1592f42e4ba3,https://make.powerautomate.com/environments/Default-9b5b8dd2-61cb-4b6f-9664-28fd7b133562/flows/shared/72b97fe9-eda2-4510-979e-1592f42e4ba3,Succeeded,4.116666666666667,5,2025,18,202516,16,0.0028587962962962,0.9971412037037036,0.0686111111111111,1,0.0686111111111111,5.834278155706728e-05,5.874238964992391e-05,0.99994125761035,1.0,0.85,1.0,1.0,2025,16,202516
2025-04-18 23:40:04,Mohammad Asim,Succeeded,Unknown,Unknown,BullsEye-Non_Prime-C2D-Run by Queue,SVC03,Unattended,Friday,5,2025-04-18 23:40:18,2025-04-18 23:40:57,2025-04-18,2025-04-18 18:40:18,2025-04-18 18:40:57,"{""hostName"":""IT-powerauto-03"",""parentWorkflowId"":""e2123236-3cec-4f5b-b2b6-2f776bbdf1dd"",""parentWorkflowRunId"":""08584565872850292250567639252CU11"",""attendedMode"":""Unattended"",""agentVersion"":""2.53.186.25057"",""connectionType"":""AzureRelay"",""parentWorkflowType"":""ApiFlow"",""secureData"":[],""hasSensitiveVariables"":[],""runOwnerObjectId"":""781fafc5-ec9a-4ff0-a0ea-dd70fa1b908b""}",e2123236-3cec-4f5b-b2b6-2f776bbdf1dd,https://make.powerautomate.com/environments/Default-9b5b8dd2-61cb-4b6f-9664-28fd7b133562/flows/shared/e2123236-3cec-4f5b-b2b6-2f776bbdf1dd,Succeeded,0.65,5,2025,18,202516,16,0.0004513888888888,0.9995486111111112,0.0108333333333333,1,0.0108333333333333,9.21201814058957e-06,9.27511415525114e-06,0.9999907248858448,1.0,0.85,1.0,1.0,2025,16,202516
2025-04-18 23:40:05,Mohammad Asim,Succeeded,Unknown,Unknown,BullsEye-Prime-C2D-Run by Queue,SVC10,Unattended,Friday,5,2025-04-18 23:40:17,2025-04-18 23:41:00,2025-04-18,2025-04-18 18:40:17,2025-04-18 18:41:00,"{""hostName"":""IT-POWERAUTO-10"",""parentWorkflowId"":""e2123236-3cec-4f5b-b2b6-2f776bbdf1dd"",""parentWorkflowRunId"":""08584565872850292250567639252CU11"",""attendedMode"":""Unattended"",""agentVersion"":""2.50.125.24304"",""connectionType"":""AzureRelay"",""parentWorkflowType"":""ApiFlow"",""secureData"":[],""hasSensitiveVariables"":[],""runOwnerObjectId"":""781fafc5-ec9a-4ff0-a0ea-dd70fa1b908b""}",e2123236-3cec-4f5b-b2b6-2f776bbdf1dd,https://make.powerautomate.com/environments/Default-9b5b8dd2-61cb-4b6f-9664-28fd7b133562/flows/shared/e2123236-3cec-4f5b-b2b6-2f776bbdf1dd,Succeeded,0.7166666666666667,5,2025,18,202516,16,0.0004976851851851,0.9995023148148148,0.0119444444444444,1,0.0119444444444444,1.0156840513983372e-05,1.022640791476408e-05,0.9999897735920852,1.0,0.85,1.0,1.0,2025,16,202516
2025-04-19 00:22:09,powerautomate03 serviceaccount,Succeeded,Unknown,Unknown,Chan_P_ConvertPriceAuto_SVC03_v1,SVC03,Unattended,Saturday,6,2025-04-19 00:23:20,2025-04-19 00:27:22,2025-04-19,2025-04-18 19:23:20,2025-04-18 19:27:22,"{""hostName"":""IT-powerauto-03"",""parentWorkflowId"":""72b97fe9-eda2-4510-979e-1592f42e4ba3"",""parentWorkflowRunId"":""08584565847656250850476526430CU144"",""attendedMode"":""Unattended"",""agentVersion"":""2.53.186.25057"",""connectionType"":""AzureRelay"",""parentWorkflowType"":""ApiFlow"",""secureData"":[],""hasSensitiveVariables"":[],""runOwnerObjectId"":""7fbd880a-cdd3-4fc2-82b1-832a51502ae1""}",72b97fe9-eda2-4510-979e-1592f42e4ba3,https://make.powerautomate.com/environments/Default-9b5b8dd2-61cb-4b6f-9664-28fd7b133562/flows/shared/72b97fe9-eda2-4510-979e-1592f42e4ba3,Succeeded,4.033333333333333,6,2025,19,202516,16,0.0028009259259259,0.997199074074074,0.0672222222222222,1,0.0672222222222222,5.716175359032502e-05,5.7553272450532725e-05,0.9999424467275496,1.0,0.85,1.0,1.0,2025,16,202516
2025-04-19 00:40:02,Mohammad Asim,Succeeded,Unknown,Unknown,BullsEye-Non_Prime-C2D-Run by Queue,SVC03,Unattended,Saturday,6,2025-04-19 00:40:14,2025-04-19 00:40:54,2025-04-19,2025-04-18 19:40:14,2025-04-18 19:40:54,"{""hostName"":""IT-powerauto-03"",""parentWorkflowId"":""e2123236-3cec-4f5b-b2b6-2f776bbdf1dd"",""parentWorkflowRunId"":""08584565836857618101006812022CU09"",""attendedMode"":""Unattended"",""agentVersion"":""2.53.186.25057"",""connectionType"":""AzureRelay"",""parentWorkflowType"":""ApiFlow"",""secureData"":[],""hasSensitiveVariables"":[],""runOwnerObjectId"":""781fafc5-ec9a-4ff0-a0ea-dd70fa1b908b""}",e2123236-3cec-4f5b-b2b6-2f776bbdf1dd,https://make.powerautomate.com/environments/Default-9b5b8dd2-61cb-4b6f-9664-28fd7b133562/flows/shared/e2123236-3cec-4f5b-b2b6-2f776bbdf1dd,Succeeded,0.6666666666666666,6,2025,19,202516,16,0.0004629629629629,0.999537037037037,0.0111111111111111,1,0.0111111111111111,9.448223733938018e-06,9.512937595129377e-06,0.9999904870624048,1.0,0.85,1.0,1.0,2025,16,202516
2025-04-19 00:40:03,Mohammad Asim,Succeeded,Unknown,Unknown,BullsEye-Prime-C2D-Run by Queue,SVC10,Unattended,Saturday,6,2025-04-19 00:40:12,2025-04-19 00:40:54,2025-04-19,2025-04-18 19:40:12,2025-04-18 19:40:54,"{""hostName"":""IT-POWERAUTO-10"",""parentWorkflowId"":""e2123236-3cec-4f5b-b2b6-2f776bbdf1dd"",""parentWorkflowRunId"":""08584565836857618101006812022CU09"",""attendedMode"":""Unattended"",""agentVersion"":""2.50.125.24304"",""connectionType"":""AzureRelay"",""parentWorkflowType"":""ApiFlow"",""secureData"":[],""hasSensitiveVariables"":[],""runOwnerObjectId"":""781fafc5-ec9a-4ff0-a0ea-dd70fa1b908b""}",e2123236-3cec-4f5b-b2b6-2f776bbdf1dd,https://make.powerautomate.com/environments/Default-9b5b8dd2-61cb-4b6f-9664-28fd7b133562/flows/shared/e2123236-3cec-4f5b-b2b6-2f776bbdf1dd,Succeeded,0.7000000000000001,6,2025,19,202516,16,0.0004861111111111,0.9995138888888888,0.0116666666666666,1,0.0116666666666666,9.92063492063492e-06,9.988584474885845e-06,0.9999900114155252,1.0,0.85,1.0,1.0,2025,16,202516
